pedon,horizon,subdivision,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental
86_2_W2.2,Oa,,11,16,5,5YR2.5/1,5YR,2.5,1,,,,,,1mgr,vfr,aw,0,c,Y,Y
86_2_W2.2,E,1,16,23,7,7.5YR5/1,7.5YR,5,1,,,,,ls,2msbk,fr,vas,2,f,Y,Y
86_2_W2.2,E,2,23,31,8,7.5YR5/1,7.5YR,5,1,,,,,ls,2msbk,fr,vas,2,f,Y,Y
86_2_W2.2,E,,16,31,15,7.5YR5/1,7.5YR,5,1,,,,,ls,2msbk,fr,vas,2,f,Y,
86_2_W2.2,R,,31,31,0,,,,,,,,,,,,,,,Y,
86_3_PFM,Oi,,0,3,3,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0,m,?,
86_3_PFM,Oe,,3,13,10,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0,m,?,
86_3_PFM,Oa,,13,30,17,5YR2.5/1,5YR,2.5,1,0,,,, ,2mgr, ,cs,0,m,Y,Y
86_3_PFM,Bhs1,,30,44,14,5YR2.5/1,5YR,2.5,1,0,,,,l,2msbk,fr,cw,0,c,Y,Y
86_3_PFM,Bhs2,,44,72,28,7.5YR2.5/3,7.5YR,2.5,3,0,,,,sl,2msbk,fr,cs,5,f,Y,Y
86_3_PFM,C,,72,75,3,7.5YR3/4,7.5YR,3,4,7.5YR4/6,,,gr,ls,1msbk,fi, ,25, ,Y,Y
86_3_W3.1,Oi,,0,3,3,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,Y,
